File_Name,File_Path,Exact_Matches,Fuzzy_Matches,Missing_Items,Total_Issues
BBDI LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BBDI LLC_2024.json,23,0,0,0
"BBDOTQ USA, INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BBDOTQ USA, INC._2024.json",22,1,0,3
BC LICENSING LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BC LICENSING LLC_2024.json,23,0,0,0
"BCC FRANCHISING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BCC FRANCHISING, LLC_2024.json",22,1,0,3
"BDS FRANCHISING, LLC_2023.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BDS FRANCHISING, LLC_2023.json",23,0,0,0
BEAVERTAILS USA INC._2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BEAVERTAILS USA INC._2024.json,23,0,0,0
"BEE HIVE HOMES, INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BEE HIVE HOMES, INC._2024.json",23,0,0,0
BEN & JERRYS FRANCHISING INC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BEN & JERRYS FRANCHISING INC_2024.json,21,2,0,6
BEN'S SOFT PRETZELS FRANCHISING CORPORATION_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BEN'S SOFT PRETZELS FRANCHISING CORPORATION_2024.json,22,1,0,3
BENJAMIN FRANKLIN FRANCHISING SPE LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BENJAMIN FRANKLIN FRANCHISING SPE LLC_2024.json,23,0,0,0
